SeqId,Heap3SortNComp,Heap3SortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_250_33,1017,38400,1639,40300,
seq_250_34,1014,38000,1650,51900,
seq_250_35,1019,59900,1633,53200,
seq_250_36,998,56900,1637,71900,
seq_250_37,1009,43100,1658,46200,
seq_250_38,1028,40000,1613,38100,
seq_250_39,1004,38400,1662,38900,
seq_250_40,1018,51700,1615,55500,
seq_250_41,1018,90400,1624,59800,
seq_250_42,1010,91400,1629,59300,
seq_250_43,1005,243600,1664,55700,
seq_250_44,1019,57700,1646,80500,
seq_250_45,1003,55700,1653,180300,
seq_250_46,1031,61500,1642,98400,
seq_250_47,1012,71900,1665,80400,
seq_250_48,989,58100,1638,55000,
seq_250_49,1021,63500,1658,75300,
seq_250_50,1008,88700,1673,247000,
seq_250_51,1023,75100,1608,100400,
seq_250_52,1010,55700,1651,68000,
seq_250_53,1006,76000,1644,71700,
seq_250_54,1015,56800,1640,117500,
seq_250_55,1010,53900,1651,68200,
seq_250_56,1010,150300,1656,68500,
seq_250_57,1024,74100,1627,86900,
seq_250_58,1006,54300,1646,71700,
seq_250_59,1023,61200,1650,55800,
seq_250_60,1039,40400,1657,39000,
seq_250_61,1008,38500,1623,35500,
seq_250_62,1018,72400,1642,48500,
seq_250_63,1000,86000,1610,53000,
seq_250_64,1002,47600,1645,66100,
seq_250_65,1013,40200,1664,48400,
seq_250_66,1013,38200,1628,44200,
seq_250_67,1011,37500,1623,42600,
seq_250_68,1018,38600,1656,75400,
seq_250_69,1014,34600,1624,45200,
seq_250_70,1012,34500,1635,33600,
seq_250_71,1004,34600,1616,33700,
seq_250_72,1012,35000,1672,34500,
seq_250_73,1008,35100,1634,35900,
seq_250_74,1006,95600,1644,79900,
seq_250_75,1013,40300,1650,60800,
seq_250_76,1011,54800,1638,113400,
seq_250_77,1023,53300,1639,102000,
seq_250_78,1037,55500,1634,60000,
seq_250_79,1007,40600,1645,49700,
seq_250_80,1014,38000,1651,42300,
seq_250_81,1017,37700,1650,42800,
